taxyear,N,community,ratio1,ratio,value,erate,taxes,av,av1,appeal_flag,condo,tract2010,white,black,hispanic,nativ,asian,two,medhinc,college,poverty
2009-2015,211,Lincoln Square,0.92914605,0.92086858,390000,0.014256484,5457.2598,37931,38102,0.12322275,0.42180094,40401,0.76617074,0.016494179,0.21183699,0.002910737,0.17884864,0.03557568,67139,0.44479898,0.17517549
2009-2015,363,Lincoln Square,0.92237777,0.9058488,346000,0.014204648,4792.71,32311,33299,0.23415978,0.73829204,40402,0.78178155,0.031110117,0.18934646,0.003804834,0.15331244,0.029991047,61738,0.52942485,0.094159447
2009-2015,138,Lincoln Square,0.9084512,0.88149148,535000,0.014335539,7218.4648,45574,46897.5,0.2173913,0.38405797,40600,0.83566147,0.020131471,0.14790468,0.002875924,0.10230074,0.039030403,66266,0.52507019,0.099077418
2009-2015,232,Lincoln Square,0.92234451,0.89425522,302000,0.014128037,4079.2949,27840,29245,0.22413793,0.72844827,40700,0.79122639,0.032981109,0.16554596,0.000960615,0.13448606,0.040345822,68611,0.51658165,0.055484693
2009-2015,104,Lincoln Square,0.87737525,0.86608768,385000,0.013430573,4738.3447,33515,33944,0.17307693,0.625,40800,0.8064729,0.050858654,0.12945838,0.00330251,0.11162484,0.027741084,76979,0.5392065,0.03686348
2009-2015,119,Lincoln Square,0.86878431,0.85312998,465000,0.013417161,5571.0298,44627,47291,0.26890758,0.39495799,40900,0.83794874,0.018974358,0.1425641,0.001025641,0.11435898,0.027692307,54423,0.55333,0.091136701
2009-2015,196,North Center,0.90483594,0.88886619,452500,0.01395952,6276.0947,40603.5,41668.5,0.18367347,0.48469388,50100,0.86288208,0.017030567,0.12139738,0.004803494,0.088209607,0.027074236,72750,0.55970788,0.016752576
2009-2015,495,North Center,0.87876445,0.83849412,521000,0.013796771,7401.1099,45114,46445,0.22626263,0.38181818,50200,0.83522844,0.025635725,0.14533801,0.003928055,0.11081249,0.024395287,64051,0.43613252,0.058345489
2009-2015,172,North Center,0.87098801,0.85769951,440500,0.013427967,5937.6851,38749.5,38832.5,0.18604651,0.26744187,50300,0.83805496,0.018604651,0.17209302,0.003382664,0.10866807,0.031289641,98523,0.45537341,0.092693783
2009-2015,425,North Center,0.82584316,0.8123011,615000,0.013142178,7191.6602,48095,49499,0.1882353,0.44941175,50500,0.88409758,0.01535549,0.087505259,0.002734539,0.063735798,0.034076568,92589,0.51704663,0.011498891
2009-2015,343,North Center,0.87005007,0.83255768,390000,0.012939952,4413.2202,30546,33876,0.3760933,0.74344021,50600,0.89328825,0.01641719,0.098020278,0.003862868,0.060840175,0.025591502,82616,0.51783657,0.12934408
2009-2015,213,North Center,0.86214966,0.83290911,353000,0.012998693,4609.5801,29389,30618,0.35211268,0.74647886,50700,0.88575459,0.021861777,0.074047953,0.000705219,0.062059239,0.029619182,89268,0.5985651,0.041680902
2009-2015,114,North Center,0.91914785,0.89749193,560000,0.014681099,8219.2803,52019,52651.5,0.070175439,0.3859649,50800,0.88363069,0.007757952,0.10705974,0,0.082234293,0.026377037,118864,0.61229134,0.075872533
2009-2015,101,North Center,0.89098096,0.86945313,570000,0.014431917,7612.8398,50240,50689,0.23762377,0.33663365,50900,0.83896476,0.018691588,0.16462976,0,0.10711718,0.035226457,89750,0.61190963,0.11635866
2009-2015,185,North Center,0.88896054,0.84461719,450000,0.014391408,5913.9199,37956,38686,0.21081081,0.61081082,51000,0.85761809,0.020625416,0.16167665,0.005322688,0.091816366,0.024617432,85625,0.54891485,0.045409016
2009-2015,168,North Center,0.86182255,0.84061015,475000,0.013404319,6614.9248,41243.5,42310,0.17261904,0.54761904,51100,0.87853467,0.020565553,0.11118252,0,0.068766065,0.032133676,76694,0.53487623,0.059787851
2009-2015,148,North Center,0.88421011,0.87554252,583500,0.014284641,7740.8203,48717.5,49845,0.13513513,0.37162161,51200,0.89379948,0.018469658,0.10751979,0.000659631,0.057387862,0.029683378,91685,0.5925926,0.099811673
2009-2015,438,North Center,0.94543159,0.92763948,462250,0.015113762,6746.8848,44066,45274,0.19863014,0.44748858,51300,0.87215805,0.015281402,0.12672381,0.004845323,0.083115913,0.024599329,155500,0.62150222,0.061119292
2009-2015,271,North Center,0.87128395,0.85403574,405000,0.013437429,5462.1802,35217,35287,0.13653137,0.63837636,51400,0.73086184,0.092441022,0.20028888,0.007221955,0.14058739,0.028887819,74655,0.43015727,0.09296947
2009-2015,297,Lake View,0.92383873,0.90640002,418000,0.014406024,5690.0698,39101,41065,0.22222222,0.57912457,60100,0.8703776,0.029972753,0.12144803,0.00116777,0.069676921,0.028804982,96094,0.54800391,0.078286268
2009-2015,121,Lake View,0.87217891,0.86331999,382000,0.013049096,5299.79,34526,35014,0.18181819,0.57024795,60200,0.77451444,0.040265277,0.18806253,0.004263382,0.14258645,0.038370442,54125,0.40366518,0.15156017
2009-2015,272,Lake View,0.8752048,0.84960628,506000,0.013846233,6632.6504,47457,48500,0.24632353,0.40808824,60300,0.88376188,0.017259598,0.097921804,0.002817894,0.078901023,0.017259598,104583,0.5563783,0.050488051
2009-2015,365,Lake View,0.9023664,0.8775,484000,0.014186067,6413.0801,41419,42826,0.26575342,0.72328764,60400,0.90089023,0.015133531,0.090207718,0.00148368,0.067062311,0.015430267,106000,0.54709715,0.07200744
2009-2015,89,Lake View,0.96344,0.91807747,529000,0.014987258,7580.8599,46359,50137,0.25842696,0.69662923,60500,0.7647059,0.061115354,0.11688311,0.002291826,0.14973262,0.022154316,42042,0.38882139,0.17658971
2009-2015,668,Lake View,0.90780407,0.83653152,175000,0.012740219,2024.3301,13497.5,14677.5,0.62125748,0.99850297,60800,0.7682448,0.067190409,0.080421746,0.001447178,0.13479429,0.028323341,67820,0.62946892,0.11221327
2009-2015,818,Lake View,0.90478569,0.84096968,185000,0.012698272,2246.48,15660,16541,0.40220049,1,60900,0.7894277,0.084316298,0.09392748,0.002329984,0.10295617,0.020969857,53699,0.58633691,0.066505805
2009-2015,178,Lake View,0.93315375,0.91325343,414500,0.01482863,5651.395,36824.5,37438,0.19101124,0.93820226,61000,0.89921069,0.018214935,0.063752279,0.004857316,0.054644808,0.023072252,90078,0.53760284,0.1827262
2009-2015,121,Lake View,0.91571426,0.91568422,415000,0.014691593,5847.73,35397,35632,0.17355372,0.77685952,61100,0.92530817,0.013052937,0.047860768,0.003625816,0.042059463,0.015953589,85337,0.47573587,0.11217184
2009-2015,139,Lake View,0.85113752,0.82382351,530000,0.013275268,6509.3398,47763,52083,0.33093524,0.53237408,61200,0.90418214,0.015352038,0.061937533,0.002117523,0.055584967,0.022763368,96667,0.61808431,0.14477211
2009-2015,120,Lake View,0.88837302,0.88091326,445000,0.014238043,5805.4248,37531,37844.5,0.21666667,0.64999998,61500,0.91505563,0.012888107,0.056824841,0.001757469,0.055067368,0.0152314,95000,0.68887037,0.053288925
2009-2015,42,Lake View,0.94208515,0.9133442,347500,0.014448156,4561.3096,33740.5,34261,0.42857143,0.9285714,61800,0.79946041,0.070143886,0.084532373,0.004496403,0.099820144,0.026079137,51250,0.55555558,0.13406795
2009-2015,285,Lake View,0.89124638,0.86239725,229000,0.013219049,2781.8201,18598,19579,0.37894738,0.95438594,61901,0.81881738,0.054180019,0.080396153,0.001456452,0.10224294,0.023303233,53833,0.57923955,0.13516514
2009-2015,362,Lake View,0.87396634,0.8415724,288750,0.013015568,3734.51,24669.5,25319,0.47513813,0.99447513,61902,0.85283017,0.03726415,0.062264152,0.001650943,0.083490565,0.02476415,50346,0.60374147,0.11929058
2009-2015,266,Lake View,0.89459574,0.87073863,350000,0.013908436,4551.8301,31471,31619,0.23684211,0.87969923,62000,0.87621641,0.02919424,0.065395094,0.000778513,0.07240171,0.021409109,78904,0.62962252,0.085456982
2009-2015,353,Lake View,0.93214285,0.91172177,405000,0.015087872,5911.2202,37409,38219,0.2266289,0.90084988,62100,0.8582654,0.028521536,0.070430733,0.000873108,0.087601863,0.024738068,78750,0.5024808,0.1987671
2009-2015,444,Lake View,0.91368473,0.89232445,440000,0.014416668,6154.4902,39310,40716,0.22072072,0.82657659,62200,0.89198607,0.016376307,0.050522648,0.002090592,0.070731707,0.018815331,109871,0.64498365,0.084667012
2009-2015,197,Lake View,0.90226531,0.88251352,550000,0.014915846,8000.0801,50679,52299,0.20812182,0.48730963,62300,0.91804361,0.020489095,0.05353602,0,0.042961005,0.018506279,105438,0.69946051,0.11869248
2009-2015,201,Lake View,0.89762264,0.86895955,535000,0.014703531,6753.8901,46957,48749,0.33333334,0.72139305,62400,0.91907108,0.014074596,0.059113301,0.002111189,0.047149893,0.017593244,109609,0.63827163,0.053703703
2009-2015,220,Lake View,0.8683362,0.85231495,350000,0.013569721,4534.2451,29661,29847,0.26818183,0.84090906,62500,0.85905147,0.039412159,0.091516368,0.004676019,0.073480293,0.023380093,109167,0.59745765,0.071327686
2009-2015,359,Lake View,0.93537587,0.90331411,535000,0.014648773,7799.6001,49139,49276,0.22005571,0.47075209,62600,0.86477989,0.014375562,0.082659476,0.000898473,0.088050313,0.031895775,103125,0.62159789,0.085162424
2009-2015,312,Lake View,0.89389092,0.86381358,494250,0.014128607,6593.2651,42863,44892,0.20833333,0.54807693,62700,0.88105726,0.02092511,0.084067546,0.003671072,0.070117474,0.024229076,102120,0.58303952,0.13137874
2009-2015,448,Lake View,0.87765127,0.85407764,501250,0.013825469,6773.8652,43100.5,44159.5,0.2924107,0.61160713,62800,0.90929836,0.017969195,0.061893895,0.000855676,0.055333715,0.01654307,102162,0.5733692,0.10867412
2009-2015,531,Lake View,0.90179104,0.88372517,455000,0.014435256,6430.52,41574,42690,0.24858756,0.76647836,62900,0.90140843,0.02112676,0.056086518,0.001257545,0.055080485,0.02112676,109167,0.60702181,0.15738499
2009-2015,299,Lake View,0.93540895,0.90998971,380000,0.014501614,5276.21,34368,34634,0.32775921,0.89632106,63000,0.85301042,0.028254289,0.071644805,0.001345442,0.096871845,0.020517996,68594,0.65284324,0.22463085
2009-2015,218,Lake View,0.91567814,0.87270558,407750,0.013964908,4998.9702,35493.5,37474,0.30733946,0.94495416,63100,0.86654395,0.020708697,0.05752416,0.003221353,0.08145421,0.028071791,61786,0.60837168,0.15779093
2009-2015,538,Lake View,0.91124737,0.84398401,289500,0.013185077,3344.9102,22196,25205,0.51486987,0.97397768,63200,0.83940113,0.040504333,0.06761229,0.002836879,0.092986606,0.02427108,54358,0.62227124,0.12341398
2009-2015,168,Lake View,0.90234268,0.86877894,278250,0.013855915,3479.6899,23063.5,24512,0.54761904,0.98809522,63301,0.79363877,0.06664142,0.062476333,0.000757289,0.1124574,0.026505111,44464,0.58965856,0.19863415
2009-2015,384,Lake View,0.84217525,0.78429008,259750,0.01156201,2580.71,17989.5,20897.5,0.6796875,0.98177081,63302,0.84584582,0.031031031,0.057307307,0.002502502,0.097097099,0.023523524,67802,0.67825198,0.073600821
2009-2015,163,Lake View,0.95004117,0.90012246,265000,0.014186812,3717.8601,25076,26109,0.32515338,1,63303,0.89342213,0.014154871,0.023313904,0.000832639,0.076602831,0.014987511,73077,0.64329898,0.062680416
2009-2015,220,Lake View,0.85676777,0.83872551,388000,0.013659224,4857.9697,31707,32446.5,0.30909091,0.91363639,63400,0.85963303,0.041284405,0.066513762,0.002293578,0.066513762,0.030275229,66198,0.57482415,0.19209313
