tract2010,white,medhinc,count,mean,median
180100,0.711825848,44760,253,0.001784933,0.0017428
831500,0.579553783,55136,130,0.001904244,0.001799381
831600,0.570563972,40810,155,0.001915651,0.001880591
250500,0.508755624,67646,318,0.001658736,0.001616983
191301,0.378914207,37214,64,0.001913322,0.00184049
191302,0.373261809,37277,77,0.001974456,0.001930435
250400,0.05996263,43633,92,0.001800714,0.001720711
191200,0.373215675,37792,51,0.002077607,0.002092606
191100,0.41448611,41875,96,0.00191865,0.00180859
250300,0.108359791,31788,93,0.001744237,0.001778238
250200,0.198201567,32750,45,0.001655185,0.001512065
200401,0.437968373,38979,45,0.001954113,0.001717314
191000,0.475576401,38429,19,0.001984885,0.001893093
200300,0.390674502,40833,18,0.001596525,0.001668923
200402,0.350773424,41091,56,0.001912321,0.001815483
831200,0.384983063,36271,46,0.002040142,0.002064333
831300,0.16796875,38482,11,0.001840079,0.0019208
230500,0.354901969,26250,18,0.002190278,0.001929774
220902,0.47404331,46518,83,0.001169265,0.000940563
220901,0.435963422,45202,45,0.001630232,0.001584292
221100,0.590349078,42039,177,0.001377036,0.001284918
221000,0.461512148,39792,78,0.001496173,0.001414284
222900,0.405144691,40123,25,0.001665341,0.001545749
230400,0.470295131,47500,33,0.00196693,0.00186232
222800,0.386405945,16324,23,0.001459137,0.001256113
222700,0.516331077,42608,83,0.001307539,0.001408865
230300,0.387695313,42500,10,0.001560619,0.00139801
230200,0.448979586,52188,40,0.00149999,0.001392464
221200,0.646153867,53478,194,0.001281115,0.00128684
221300,0.6238361,41116,113,0.001263575,0.00127981
221400,0.614238381,45724,149,0.00122702,0.001192831
221500,0.64581126,41771,131,0.001321503,0.001264205
832400,0.684376001,81667,312,0.001128729,0.00113112
222600,0.565543056,36228,63,0.001356754,0.00126025
222500,0.510638297,49167,52,0.00155737,0.001492372
230100,0.452248931,37571,49,0.001533086,0.001421821
240800,0.497217059,32391,60,0.00136037,0.001266398
240700,0.512052119,55833,79,0.001435352,0.001319102
240600,0.704873025,103009,157,0.00116919,0.001185345
30200,0.729744852,67115,376,0.001384323,0.001415979
30104,0.651453435,32537,19,0.001284529,0.001116576
30102,0.592384517,33583,171,0.00121069,0.00122272
30103,0.596473038,26096,77,0.001141416,0.001118622
30101,0.518109441,37821,218,0.001351697,0.001270495
30500,0.685848296,62623,420,0.001332868,0.001345811
30601,0.543120623,32636,135,0.001530871,0.001442241
30604,0.534946263,42810,265,0.001362862,0.001271446
30603,0.49212411,26596,28,0.001472601,0.001433084
20901,0.352231383,38426,86,0.001902804,0.00194641
20902,0.488800734,38854,118,0.001835123,0.001828363
30300,0.516556263,32684,85,0.00154005,0.001553734
30400,0.677347243,36857,171,0.001417655,0.001411
40100,0.700627327,55300,245,0.001416715,0.00141797
30900,0.7318362,69792,215,0.001402772,0.001380427
40401,0.76617074,67139,211,0.001400064,0.001393944
40402,0.781781554,61738,363,0.001320884,0.001366
31000,0.73140043,63433,292,0.001224663,0.001330807
30800,0.770457685,72243,269,0.001367569,0.001362662
30701,0.53389281,34464,135,0.000798342,0.000934821
30706,0.659349799,38977,381,0.001290212,0.0012835
30703,0.606713772,40313,173,0.00128849,0.001332368
31100,0.693548381,49955,221,0.001443044,0.001416
31200,0.38385269,16650,190,0.001384551,0.00142899
31300,0.507348776,32930,385,0.00137311,0.001350872
31400,0.789514542,63750,551,0.001389237,0.0013326
31700,0.580060899,41645,523,0.001406286,0.001438929
31800,0.753296733,62841,156,0.001310078,0.001342993
31900,0.778211832,67273,182,0.001326574,0.001338164
830700,0.49870497,37692,213,0.001274757,0.001376498
31501,0.390154302,25040,79,0.001401649,0.001419956
31502,0.360817641,28964,128,0.001356011,0.001406142
60100,0.8703776,96094,297,0.001378189,0.001400542
32100,0.690017045,45525,458,0.001297989,0.001368068
40600,0.835661471,66266,138,0.001331364,0.001385528
40900,0.83794874,54423,119,0.001300843,0.001282078
830800,0.7745713,57887,129,0.001350167,0.001377247
50200,0.835228443,64051,495,0.001242893,0.001313089
50100,0.862882078,72750,196,0.001364726,0.001370815
60200,0.774514437,54125,121,0.001294489,0.001358483
50500,0.884097576,92589,425,0.001211543,0.001289306
50600,0.893288255,82616,343,0.001157338,0.001296571
60300,0.883761883,104583,272,0.001352496,0.00134863
50900,0.83896476,89750,101,0.001368957,0.001406208
50800,0.883630693,118864,114,0.001397475,0.001423978
51000,0.857618093,85625,185,0.001271997,0.001357638
51100,0.878534675,76694,168,0.001328716,0.001320225
50700,0.885754585,89268,213,0.001196041,0.001287228
831900,0.916451991,100786,339,0.001346344,0.001388832
51200,0.893799484,91685,148,0.001370514,0.001376921
62500,0.859051466,109167,220,0.001210116,0.001306743
60400,0.900890231,106000,365,0.00133458,0.001368524
60500,0.764705896,42042,89,0.001413843,0.001429389
61200,0.904182136,96667,139,0.001333621,0.001309856
832100,0.710646033,65404,334,0.001340575,0.001360617
61100,0.925308168,85337,121,0.001403543,0.001427432
61000,0.899210691,90078,178,0.001407865,0.00141899
61500,0.915055633,95000,120,0.001372829,0.00139592
62400,0.919071078,109609,201,0.001323539,0.001379802
62300,0.918043613,105438,197,0.001372241,0.001388036
832000,0.888209105,109219,221,0.001431431,0.001440556
62200,0.891986072,109871,444,0.001402752,0.001385519
62100,0.8582654,78750,353,0.001383363,0.001418815
60800,0.768244803,67820,668,0.001212504,0.001251861
60900,0.789427698,53699,818,0.001261171,0.00126428
61800,0.799460411,51250,42,0.001396501,0.00139632
62000,0.876216412,78904,266,0.001309019,0.001338623
61901,0.818817377,53833,285,0.001320536,0.001313402
61902,0.852830172,50346,362,0.001315814,0.001266259
63100,0.866543949,61786,218,0.001334828,0.001368691
63200,0.839401126,54358,538,0.001251364,0.001317296
63400,0.859633029,66198,220,0.001169957,0.00130456
63301,0.793638766,44464,168,0.001255969,0.001322505
63302,0.845845819,67802,384,0.001126251,0.001195742
63303,0.893422127,73077,163,0.001382543,0.001381854
70200,0.853076935,84223,380,0.001260162,0.001341279
70102,0.854952335,63567,366,0.001258349,0.001291638
70101,0.874868274,66329,389,0.001351486,0.001353203
70103,0.826214135,50872,83,0.001183555,0.001257872
62700,0.881057262,102120,312,0.00133083,0.001360509
62800,0.90929836,102162,448,0.001289988,0.001341554
62900,0.901408434,109167,531,0.001346273,0.001383797
